schoolName,overallRecord,winPercent,conferenceRecord,conference,state,city,headCoach,coachPhone,nickname,rpiRanking,rosterDistribution,goalsFor,goalsAgainst,description,schoolUrl,schoolSize,undergradPopulation,inStateTuition,outOfStateTuition,address,facultyRatio,acceptanceLevel,acceptanceRate
Albany (Men's),4-8-6,0.33,2-4-1,America East,New York,Albany,Trevor Gorman,518-442-2652,Great Danes,Conference Standing: 6,"JR,SR,FR,SO,SR,SO,SR,SO,JR,JR,FR,SO,SO,SR,FR,JR,FR,JR,FR,JR,SO,SO,JR,JR,FR,SO",20,22,"A medium-sized, 4-year, public university. This coed college is located in a small city in a suburban setting and is primarily a residential campus. It offers bachelor's, master's and doctoral degrees.",http://albany.edu,Medium-sized,"12,929","$8,527","$20,167","1400 Washington Avenue, Albany, NY 12222",18:1,Somewhat selective,56
Binghamton (Men's),5-14-0,0.26,3-4-0,America East,New York,Binghamton,Paul Marco,607-341-3674,Bearcats,Conference Standing: 4,"SR,SR,SR,SR,SR,SR,SR,SR,SR,JR,JR,SR,SR,SR,SR,SR,SR,SR,SR,SR,JR,JR,JR,JR",15,21,"A medium-sized, 4-year, public university. This coed college is located in a small city in a suburban setting and is primarily a residential campus. It offers bachelor's, master's and doctoral degrees.",www.binghamton.edu,Medium-sized,"13,412","$8,720","$20,360","4400 Vestal Parkway East, Vestal, NY 13850",20:1,Very selective,44
Hartford (Men's),11-6-2,0.65,5-2-0,America East,Connecticut,Hartford,Tom Poitras,860-768-4470,Hawks,Conference Standing: 2,"SO,SO,JR,JR,SR,JR,SR,SO,SO,JR,JR,FR,SR,FR,JR,SR,FR,SR,FR,FR,SO,SO,FR,JR,SO,SO",23,19,"A medium-sized, 4-year, private university. This coed college is located in a small city in a suburban setting and is primarily a residential campus. It offers certificate, associate, bachelor's, master's and doctoral degrees.",www.hartford.edu,Medium-sized,"5,180","$36,460","$36,460","200 Bloomfield Avenue, West Hartford, CT 06117",10:1,Somewhat selective,72
Massachusetts-Lowell (Men's),8-9-1,0.47,4-2-1,America East,Massachusetts,Lowell,Christian Figueroa,978-934-2317,River Hawks,Conference Standing: 3,"FR,SR,SR,JR,SR,SR,SR,SR,SR,SR,SR,SO,SO,SR,SO,JR,SR,SR,SO,JR,SO,SR,SR,SR,JR,SO,JR,SR,SO,SO,SR,JR",18,23,"A medium-sized, 4-year, public university. This coed college is located in a small city in an urban setting and is primarily a residential campus. It offers certificate, associate, bachelor's, master's and doctoral degrees.",www.uml.edu,Medium-sized,"12,986","$12,447","$19,560","One University Avenue, Lowell, MA 01854",18:1,Somewhat selective,62
New Hampshire (Men's),6-10-1,0.38,2-5-0,America East,New Hampshire,Durham,Rob Thompson,603-674-2521,Wildcats,Conference Standing: 7,"SR,SO,SR,SO,JR,SR,JR,SR,JR,SO,JR,SO,SO,SO,FR,JR,FR,SO,JR,SR,SO,FR,SR,SO,SR,FR,SO,FR,SR",11,18,"A medium-sized, 4-year, public university. This coed college is located in a small town in a rural setting and is primarily a residential campus. It offers associate, bachelor's, master's and doctoral degrees.",www.unh.edu,Medium-sized,"12,840","$16,552","$29,532","105 Main Street, Durham, NH 03824",19:1,Less selective,80
Stony Brook (Men's),4-13-1,0.24,2-5-0,America East,New York,Stony Brook,Ryan Anatol,813-956-0432,Seawolves,Conference Standing: 8,"SO,SO,SO,FR,SO,FR,JR,SO,SR,JR,FR,FR,FR,JR,FR,SO,FR,FR,FR,FR,SO,JR,FR,FR,FR,FR,FR",16,33,"A large, 4-year, public university. This coed college is located in a large town in a suburban setting and is primarily a residential campus. It offers bachelor's, master's and doctoral degrees.",www.stonybrook.edu,Large,"16,480","$8,430","$21,850","100 Nicolls Road, Stony Brook, NY 11794",17:1,Very selective,41
UMBC (Men's),14-6-5,0.70,6-0-1,America East,Maryland,Baltimore,Pete Caringi,410-292-5927,Retrievers,Conference Standing: 1,"SO,FR,JR,JR,SR,FR,SR,SO,JR,JR,JR,SR,JR,JR,SO,SR,SR,SR,SR,SR,SO,SO,SR,JR,FR,JR,SR",37,22,"A medium-sized, 4-year, public university. This coed college is located in a large city in a suburban setting and is primarily a residential campus. It offers bachelor's, master's and doctoral degrees.",www.umbc.edu,Medium-sized,"11,379","$10,384","$22,682","1000 Hilltop Circle, Baltimore, MD 21250",20:1,Somewhat selective,60
Vermont (Men's),7-9-2,0.44,2-4-1,America East,Vermont,Burlington,Jesse Cormier,802-656-7868,Catamounts,Conference Standing: 5,"SR,SR,SR,SR,SR,SR,JR,SR,SO,SR,SR,SR,SR,SR,SR,SR,SR,SR,JR,SR,JR,JR,SR,JR,JR,JR,JR,SR",20,26,"A medium-sized, 4-year, public university. This coed college is located in a large town in a suburban setting and is primarily a residential campus. It offers bachelor's, master's and doctoral degrees.",www.uvm.edu,Medium-sized,"10,992","$16,196","$37,844","South Prospect Street, Burlington, VT 05405",17:1,Somewhat selective,73
Cincinnati (Men's),5-10-3,0.33,2-5-1,American Athletic,Ohio,Cincinnati,Hylton Dayes,513-295-9146,Bearcats,Conference Standing: 5,"SR,SO,JR,SR,FR,FR,SR,JR,SR,JR,SR,SR,JR,JR,FR,FR,SO,JR,JR,SO,FR,SO,SO,SO,FR,JR,FR,SO,JR",25,31,"A medium-sized, 2-year, public community college and technical college. This coed college is located in a large city in an urban setting and is primarily a commuter campus. It offers certificate and associate degrees.",www.cincinnatistate.edu,Medium-sized,"10,707","$4,717","$9,176","3520 Central Parkway, Cincinnati, OH 45223",15:1,Open admission,
Connecticut (Men's),10-6-3,0.63,7-1-1,American Athletic,Connecticut,Storrs,Ray Reid,860-486-4231,Huskies,Conference Standing: 1,"FR,JR,SR,FR,SR,SR,FR,SO,SR,SO,SO,SR,FR,FR,JR,SO,SO,JR,JR,FR,FR,JR,FR,FR,FR,FR,JR,FR,JR,FR,JR,FR,SO",28,20,"A small, 4-year, private liberal arts college. This coed college is located in a large town in a suburban setting and is primarily a residential campus. It offers bachelor's and master's degrees.",www.connecticutcollege.edu,Small,"1,893","$49,350","$49,350","270 Mohegan Avenue, New London, CT 06320",9:1,Very selective,38
